config_id,backend,model,preproc,category,items,mean_cer,usable_rate,wer,omission_rate,halluc_rate,reversed_flags,hard_flag_ok,hard_halluc,hard_n,assoc_pair_acc,errors,rate_limit_waits,rate_limit_wait_s,rate_limited_out,median_latency_s
gemini3_flash,gemini,gemini-3-flash-preview,none,handwritten_line,17,0.473,0.0588,0.4813,0.2834,0.0694,0,,,,,0,0,0.0,0,12.04
gemini3_flash,gemini,gemini-3-flash-preview,none,option_row_association,1,,,,,,0,,,,1.0,0,0,0.0,0,2.93
gemini3_flash,gemini,gemini-3-flash-preview,none,printed_rtl,1,0.0,1.0,0.0,0.0,0.0,0,,,,,0,0,0.0,0,3.57
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_cell,1,0.4828,0.0,1.2,0.0,0.2857,0,,,,,0,0,0.0,0,0.41
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_line,4,0.4525,0.25,0.8065,0.0645,0.0645,0,,,,,0,0,0.0,0,0.23
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,formula_printed,7,0.371,0.5714,0.6389,0.1528,0.1159,0,,,,,0,0,0.0,0,137.89
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,handwritten_cell,11,0.7971,0.0,1.0471,0.1765,0.0667,0,,5,5,,0,0,0.0,0,194.58
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,handwritten_line,64,0.9112,0.0,1.0768,0.2089,0.121,0,,22,22,,1,0,0.0,0,162.75
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,mixed_he_en,7,0.1484,0.8571,0.1591,0.0114,0.0114,1,,,,,0,0,0.0,0,143.79
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,option_row_association,5,,,,,,0,,,,0.1579,0,0,0.0,0,138.33
qwen8b_strict_contrast,qwen_local,qwen3-vl:8b-instruct,contrast,printed_rtl,8,0.0657,0.875,0.2154,0.0,0.0714,0,,,,,0,0,0.0,0,152.91
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_cell,4,0.8784,0.0,1.1364,0.1364,0.2692,0,,,,,0,0,0.0,0,0.41
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_line,11,0.6052,0.0909,0.9691,0.1753,0.0805,0,,5,5,,0,0,0.0,0,0.26
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_cell,4,0.8784,0.0,1.1364,0.1364,0.2692,0,,,,,0,0,0.0,0,0.41
mlkit_ink_rtl_a1,mlkit_digital_ink,"he (Digital Ink Recognition, on-device)",,handwritten_line,11,0.6052,0.0909,0.9691,0.1753,0.0805,0,,5,5,,0,0,0.0,0,0.26
qwen_rag_ocr_v1,,,,handwritten_cell,11,0.7939,0.0,1.0471,0.1765,0.0667,0,,5,5,,1,0,0.0,0,0.0
qwen_rag_ocr_v1,,,,handwritten_line,63,0.9094,0.0,1.0713,0.2048,0.1176,0,,22,22,,4,0,0.0,0,0.0
gemini_rag_ocr_v1,,,,handwritten_cell,4,0.1836,0.75,0.3636,0.0909,0.0,0,,,,,0,0,0.0,0,0.0
gemini_rag_ocr_v1,,,,handwritten_line,23,0.3641,0.4348,0.5108,0.2208,0.1089,0,1,4,5,,3,0,0.0,0,0.0
gemini_protocol_clean_v1,,,,handwritten_cell,4,0.1581,0.75,0.3636,0.0909,0.0476,0,,,,,0,0,0.0,0,0.0
gemini_protocol_clean_v1,,,,handwritten_line,23,0.3417,0.3478,0.4719,0.2338,0.0876,0,2,3,5,,0,0,0.0,0,0.0
qwen_protocol_clean_v1,,,,handwritten_cell,11,0.7971,0.0,1.0471,0.1765,0.0667,0,,5,5,,0,0,0.0,0,0.0
qwen_protocol_clean_v1,,,,handwritten_line,63,0.9042,0.0,1.0786,0.192,0.1213,0,,22,22,,0,0,0.0,0,0.0
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,formula_printed,7,0.424,0.4286,0.6806,0.1528,0.1286,0,,,,,0,0,0.0,0,9.66
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,handwritten_cell,11,0.8806,0.0,1.1882,0.0235,0.1863,0,,5,5,,0,0,0.0,0,8.98
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,handwritten_line,64,1.4002,0.0,1.8946,0.1571,0.5247,0,,22,22,,0,0,0.0,0,8.61
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,mixed_he_en,7,0.113,1.0,0.2727,0.0114,0.0,0,,,,,0,0,0.0,0,10.8
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,option_row_association,5,,,,,,0,,,,0.7895,0,0,0.0,0,10.02
qwen38_27b_q4km,ollama_native,qwen3.8:27b-q4_K_M,contrast,printed_rtl,8,0.0695,0.875,0.2769,0.0,0.058,0,,,,,0,0,0.0,0,7.33
qwen38_rag_ocr_v1,,,,handwritten_cell,11,0.884,0.0,1.1765,0.0235,0.1782,0,,5,5,,5,0,0.0,0,0.0
qwen38_rag_ocr_v1,,,,handwritten_line,64,1.405,0.0,1.8946,0.1554,0.5241,0,,22,22,,25,0,0.0,0,0.0
