crop_id,exam_id,question_id,sub_item_id,image_path,candidate_transcription,human_transcription,unreadable_spans,explanation_present,human_verified,notes
e003_q1_r1,test/003_70.pdf,1,1,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r1.png,ניתן לראות ברמת התדרים הגבוהים שיש שפה בכיוון התנועה (הטשטוש),,,,false,AI-uncertain tokens: שפה
e003_q1_r2,test/003_70.pdf,1,2,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r2.png,רק התדרים הגבוהים נשמרו ב-High pass לכן התדרים הנמוכים (כולל DC) מאופסים,,,,false,
e003_q1_r3,test/003_70.pdf,1,3,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r3.png,עוצמת התדרים הגבוהים שאחרי הפעולה עלה ולכן הרעש בתמונה מראה שפות עבות יותר,,,,false,"AI-uncertain tokens: שאחרי, עלה, מראה"
e003_q1_r4,test/003_70.pdf,1,4,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r4.png,ניתן לראות שרק תדרים נמוכים נשמרו לכן גם הרמה של התדרים הגבוהים מאופסת,,,,false,AI-uncertain tokens: הרמה
e003_q1_r5,test/003_70.pdf,1,5,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r5.png,הרעש והטשטוש שלו בכיוון ציר ה-X מובלט בתדרים הגבוהים,,,,false,AI-uncertain tokens: שלו
e003_q1_r6,test/003_70.pdf,1,6,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r6.png,הרעש והטשטוש שלו בכיוון ציר ה-Y מובלט בתדרים הגבוהים,,,,false,
e003_q1_r7,test/003_70.pdf,1,7,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r7.png,הרמה העליונה שכוללת את DC בהירה יותר,,,,false,
e003_q1_r8,test/003_70.pdf,1,8,evaluation/hebrew_bench/human_annotation/crops/e003_q1_r8.png,"ברמה העליונה שכוללת את DC ניתן לראות שערכים בהירים יותר, נהיו יותר בהירים",,,,false,AI-uncertain tokens: נהיו
e002_q1_r1,test/002_76.pdf,1,1,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r1.png,יש טשטוש בכל התמונה,יש טשטוש בכל התדרים,,true,true,"first line heavily struck through by the student; readable tail only. Acceptable outputs: the tail, or an explicit unreadable/crossed-out flag; owner-verified 2026-07-13; mapping checked by printed row number"
e002_q1_r2,test/002_76.pdf,1,2,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r2.png,נשארו משמעותית רק התדרים הגבוהים,נשאר בתמונה רק התדרים הגבוהים,,true,true,owner-verified 2026-07-13; mapping checked by printed row number
e002_q1_r3,test/002_76.pdf,1,3,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r3.png,העוצמה של הצבעים הגבוהים בפרמידה חזקה ביחס למקורי.,העוצמה של הדרגות הגבוהות בפרמידה חזקה ביחס למקורי,,true,true,"AI-uncertain tokens: הצבעים, בפרמידה; owner-verified 2026-07-13; mapping checked by printed row number"
e002_q1_r4,test/002_76.pdf,1,4,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r4.png,נשאר בתמונה רק התדרים הנמוכים,נשאר בתמונה רק התדרים הנמוכים,,true,true,owner-verified 2026-07-13; mapping checked by printed row number
e002_q1_r5,test/002_76.pdf,1,5,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r5.png,מריחה בציר X עקב הקונבולוציה,מריחה בציר x עקב הקונבולוציה,,true,true,AI-uncertain tokens: עקב; owner-verified 2026-07-13; mapping checked by printed row number
e002_q1_r6,test/002_76.pdf,1,6,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r6.png,מריחה בציר Y עקב הקונבולוציה,מריחה בציר y עקב הקונבולוציה,,true,true,owner-verified 2026-07-13; mapping checked by printed row number
e002_q1_r7,test/002_76.pdf,1,7,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r7.png,סהכ התמונה נראית תקינה בגרסה שלה בהירה משמעותית מהתמונה המקורית.,"סה""כ הפירמידה נראית תקינה. הדרגה 0 שלה בהירה משמעותית מהתמונה המקורית",,true,true,"AI-uncertain tokens: בגרסה, שלה; owner-verified 2026-07-13; mapping checked by printed row number"
e002_q1_r8,test/002_76.pdf,1,8,evaluation/hebrew_bench/human_annotation/crops/e002_q1_r8.png,"בדומה לפעולה 7, מבהיר את התמונה אבל פה הרזולוציות הבהירות יותר נעשות יותר שינוי מהרזולוציות הכהות","בדומה לפעולה 7, מבהיר את התמונה אבל פה האיזורים הבהירים יותר נעשים יותר שינוי מהאזורים הכהים",,true,true,"very messy cursive with a struck-through word; several tokens uncertain even to the human annotator. Acceptable: close transcription or explicit partial-unreadable flags; AI-uncertain tokens: מבהיר, הרזולוציות, נעשות, שינוי; owner-verified 2026-07-13; mapping checked by printed row number"
rep_q1sheet_r1,sample_data/student_exam.pdf,1 (content; printed sheet title says 2 — student swap),1,evaluation/hebrew_bench/human_annotation/crops/rep_q1sheet_r1.png,רואים ארטיפקטים ברורים בכיוון ה motion של (באותה אוריינטציה וגם) כיוון ב 45,,,,false,"dense parenthetical insertion; annotator-uncertain tokens; AI-uncertain tokens: באותה, אוריינטציה, וגם, כיוון"
rep_q1sheet_r2,sample_data/student_exam.pdf,1 (content; printed sheet title says 2 — student swap),2,evaluation/hebrew_bench/human_annotation/crops/rep_q1sheet_r2.png,טשטוש טווח HighPass מאופס את התמונה,,,,false,"AI-uncertain tokens: טווח, את"
rep_q1sheet_r3,sample_data/student_exam.pdf,1 (content; printed sheet title says 2 — student swap),3,evaluation/hebrew_bench/human_annotation/crops/rep_q1sheet_r3.png,אין השפעה על הרמות הנמוכות אבל הרמה הכי גבוהה בולטת יותר,,,,false,
